,Target Name,Target Detail,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L
0,cut,1,0.50608780218155,0.8376581072807312,0.3700182386760816,0.2967635664031832,0.48919676727692557,0.4796784214389369
1,cut,2,0.5346806790527535,0.847806433836619,0.38598566586180444,0.3245742653641668,0.49224806201550386,0.5091521517169751
2,cut,3,0.5363043094938814,0.8477248748143514,0.39184899780908267,0.3208307181350815,0.4937324756721095,0.512318740274943
3,grasp,1,0.6619578573010784,0.8811123768488566,0.48055884802647264,0.384079585388939,0.6033440056919245,0.6528293621927936
4,grasp,2,0.7399340142787881,0.8977102637290955,0.5525569394714696,0.4398078702530996,0.6602632515119174,0.6613319057324549
5,grasp,3,0.7919619982097622,0.9129303693771362,0.5958193593782393,0.4775926522823409,0.6622198505869797,0.6708074484178853
6,mix,1,0.47306165385203225,0.8271249930063883,0.3197116556604873,0.16851161133739004,0.4056824838898652,0.43381742250713184
7,mix,2,0.5027314889316109,0.830758531888326,0.3497676552298465,0.20315769752351528,0.4229642647920328,0.46281040843305804
8,mix,3,0.4997486325050439,0.8470679918924967,0.3937555193347742,0.2350372423015125,0.4389767623511032,0.4758218575204974
9,pour,1,0.6547089296514605,0.8771655956904093,0.4521305269873544,0.3238525032228077,0.5862179487179486,0.5892246594135564
10,pour,2,0.6196701936143549,0.8747230966885885,0.4381236232166797,0.289210000514106,0.5661324786324786,0.5886868640101564
11,pour,3,0.6489020117928382,0.8731545209884644,0.4683679572585359,0.3382309415116191,0.5942307692307692,0.5764668336316553
12,transport,1,0.8172283093896686,0.9394427537918092,0.7735546494887894,0.678640745997574,0.7756357670221493,0.8195121901563356
13,transport,2,0.8132979545866688,0.9419146378835043,0.7735546494887894,0.6964165539054825,0.7723543888433143,0.8221903345878675
14,transport,3,0.8818886212165271,0.9449016451835632,0.8171004374040264,0.6856923653238711,0.8249931637954608,0.8106890900889326
15,wipe,1,0.6188943566066686,0.9154431223869324,0.5734505491439016,0.40398377702484156,0.5412844036697247,0.7391409285186205
16,wipe,2,0.651278040221843,0.9163702527681986,0.5960001759230359,0.4159477896864389,0.5552873008208594,0.7090995507560954
17,wipe,3,0.6766179103531152,0.908819337685903,0.632537200055073,0.4278190974123081,0.5915016900048286,0.6967536529709971
