,Target Name,Target Detail,Reference Name,Reference Detail,chrF,CodeBERTScore,CodeBLEU,CrystalBLEU,Edit Distance,ROUGE-L,LoC,Compilation Success
0,cut,1,wipe,1,0.5061359141027659,0.881630003452301,0.5673910243339819,0.2230548784461082,0.47658136166103326,0.5714285664680014,38,1
1,cut,1,wipe,2,0.5264712193056332,0.8833644986152649,0.5788804318046878,0.2536461090965675,0.4751327860936746,0.5737051743591371,37,1
2,cut,1,wipe,3,0.5165744334037519,0.8766789436340332,0.5682245364434858,0.24279036884114014,0.46571704490584254,0.5853658487656157,37,1
3,cut,2,wipe,1,0.5283224357963557,0.8878322839736938,0.570834317931005,0.25248347879188987,0.487928536938677,0.5714285664680014,38,1
4,cut,2,wipe,2,0.5312047405020247,0.8926497101783752,0.5692467407413828,0.27579003157319554,0.47899565427329793,0.5977011444576563,36,1
5,cut,2,wipe,3,0.5299206974236869,0.8871380090713501,0.5721131282871785,0.26030710645959804,0.4857556735876388,0.5877862545711205,37,1
6,cut,3,wipe,1,0.534540487607151,0.8906053900718689,0.590850169042671,0.24921226785332068,0.4992757122163206,0.5895522338196146,39,1
7,cut,3,wipe,2,0.5129554776176053,0.8895434737205505,0.5730484829124035,0.24867936792999915,0.48309995171414777,0.5877862545711205,38,1
8,cut,3,wipe,3,0.5705379387785225,0.8883192539215088,0.6227693276483863,0.29406522203083924,0.5197971994205698,0.6015037544165867,39,1
9,grasp,1,cut,1,0.390807794726398,0.8472525477409363,0.3642551489248633,0.1013918374100425,0.3362196932211776,0.4725738356438605,21,1
10,grasp,1,cut,2,0.34284672282535694,0.827739417552948,0.30418986451926633,0.06309462545230819,0.2911924789708066,0.42241378922748224,18,1
11,grasp,1,cut,3,0.40070333836595173,0.8485410809516907,0.3581278133313624,0.10093403298697755,0.33572488866897576,0.4999999960086901,20,1
12,grasp,2,cut,1,0.4222624986514314,0.8590025901794434,0.3751235188817105,0.1496187465962631,0.36293913904007913,0.4959999956771201,24,1
13,grasp,2,cut,2,0.44630916823806643,0.8639711737632751,0.39199867496855895,0.1658410386262492,0.38941118258287977,0.5396825353202948,24,1
14,grasp,2,cut,3,0.4256024269251127,0.8609776496887207,0.3888685929873487,0.14667936942252852,0.3753092528451262,0.515873011510771,24,1
15,grasp,3,cut,1,0.4625932930240704,0.8629293441772461,0.40074923648951655,0.19849431394077047,0.41316180108857004,0.5439999956771201,26,1
16,grasp,3,cut,2,0.4625932930240704,0.8629293441772461,0.40074923648951655,0.19849431394077047,0.41316180108857004,0.5439999956771201,26,1
17,grasp,3,cut,3,0.4625932930240704,0.8629293441772461,0.40074923648951655,0.19849431394077047,0.41316180108857004,0.5439999956771201,26,1
18,mix,1,grasp,1,0.8796698356725722,0.9279481768608093,0.7509552438343672,0.5535758060770634,0.7433425160697889,0.7804877998780488,31,1
19,mix,1,grasp,2,0.8448953407440049,0.9349395036697388,0.78657125562916,0.5491929210103597,0.7062228654124457,0.7831325251212078,30,1
20,mix,1,grasp,3,0.8730179194466924,0.9373453259468079,0.7532310383262029,0.5472865255164776,0.8209718670076727,0.7654320937661943,27,1
21,mix,2,grasp,1,0.8598641105308085,0.9275237917900085,0.7631984411322604,0.5112435427333157,0.6995687589841879,0.7368421002715366,32,1
22,mix,2,grasp,2,0.9408058399263578,0.9372031092643738,0.8519705014079704,0.5408707869184256,0.7756302521008404,0.7701149375452504,34,1
23,mix,2,grasp,3,0.9168510473754988,0.9284574389457703,0.7979604886342206,0.5395897129044334,0.7464912280701754,0.7514450817187345,33,1
24,mix,3,grasp,1,0.8700913703464881,0.9235204458236694,0.8314036517840057,0.47760649962101703,0.7349452554744526,0.7135135085779403,36,1
25,mix,3,grasp,2,0.8491941273013909,0.9105669856071472,0.7247454427883397,0.45185484368563394,0.7254335260115607,0.6703296653785775,32,1
26,mix,3,grasp,3,0.8519705786024572,0.9066586494445801,0.7298413191853279,0.43774084338721686,0.6998616874135546,0.6923076873565995,35,1
27,pour,1,mix,1,0.5329348695923793,0.8468418717384338,0.4182944473327326,0.1632214372742485,0.3845928529584065,0.4568965470812278,32,1
28,pour,1,mix,2,0.5250837589360278,0.8436200618743896,0.4150291412102836,0.1632214372742485,0.3895723491505565,0.46086956060453693,32,1
29,pour,1,mix,3,0.5329348695923793,0.8468418717384338,0.4182944473327326,0.1632214372742485,0.3845928529584065,0.4568965470812278,32,1
30,pour,2,mix,1,0.4892367033400055,0.8319399356842041,0.3752279108196769,0.129076863827889,0.35295840656121846,0.4054054009313368,28,1
31,pour,2,mix,2,0.47634175282796215,0.8279744982719421,0.3719626046972279,0.129076863827889,0.35676625659050965,0.40909090465661163,28,1
32,pour,2,mix,3,0.49428973960444766,0.8317074179649353,0.377093639026971,0.14104208730013532,0.35735207967193905,0.4054054009313368,29,1
33,pour,3,mix,1,0.5285908552199944,0.8503772020339966,0.4086328520530499,0.17829211713957577,0.39718804920913886,0.47210299963454855,35,1
34,pour,3,mix,2,0.5246068497867348,0.8509038090705872,0.40713895937630273,0.16795574467046845,0.39425893380199184,0.47210299963454855,34,1
35,pour,3,mix,3,0.5855637785304867,0.8657650947570801,0.4686279852863353,0.23902608727020494,0.3989455184534271,0.5359999951548801,36,1
36,transport,1,pour,1,0.5869761489271181,0.9082738161087036,0.6421413314100467,0.3891267114633438,0.5746794871794871,0.6666666617668523,29,1
37,transport,1,pour,2,0.5869761489271181,0.9082738161087036,0.6421413314100467,0.3891267114633438,0.5746794871794871,0.6666666617668523,29,1
38,transport,1,pour,3,0.5869761489271181,0.9082738161087036,0.6421413314100467,0.3891267114633438,0.5746794871794871,0.6666666617668523,29,1
39,transport,2,pour,1,0.5869761489271181,0.9082738161087036,0.6421413314100467,0.3891267114633438,0.5746794871794871,0.6666666617668523,29,1
40,transport,2,pour,2,0.5812050087266932,0.9088817238807678,0.6422853440373875,0.40545375472584294,0.5753205128205128,0.669724765749937,29,1
41,transport,2,pour,3,0.5812050087266932,0.9088817238807678,0.6422853440373875,0.40545375472584294,0.5753205128205128,0.669724765749937,29,1
42,transport,3,pour,1,0.642606925789904,0.911496102809906,0.6800428482248423,0.46985873405137574,0.6330128205128205,0.6428571379245058,34,1
43,transport,3,pour,2,0.6760279868167611,0.9129025340080261,0.697081060193846,0.49293476145428344,0.6576923076923077,0.6519823739059559,34,1
44,transport,3,pour,3,0.6625282015262172,0.9139891862869263,0.6961102023378758,0.5027113618670511,0.6631410256410256,0.6577777728395062,34,1
45,wipe,1,transport,1,0.8090723375645011,0.9331515431404114,0.8892508661124632,0.5551399127400991,0.7391304347826086,0.6999999950004133,37,1
46,wipe,1,transport,2,0.8562324312418518,0.9199352860450745,0.8420236265724124,0.49171510022666043,0.7896869244935543,0.7317073121207616,42,1
47,wipe,1,transport,3,0.8066027538140316,0.9315288662910461,0.8523725637603261,0.526868315172259,0.7333880229696472,0.6874999950003986,37,1
48,wipe,2,transport,1,0.8597099713522821,0.9373016357421875,0.9094887088967827,0.5886112604297239,0.8296875,0.7725321838523459,40,1
49,wipe,2,transport,2,0.8551864107360053,0.917840838432312,0.8432261744317426,0.4582091982846336,0.7402597402597403,0.728744934322477,43,1
50,wipe,2,transport,3,0.8186630343780426,0.9077187776565552,0.8221466234715293,0.4363162862998907,0.7424990505127231,0.6666666616866955,39,1
51,wipe,3,transport,1,0.808828064821249,0.8884572982788086,0.8113373483233615,0.338109803772342,0.6444723618090452,0.6475409786472051,44,1
52,wipe,3,transport,2,0.7809280458687446,0.8930986523628235,0.7775570214029738,0.37245437190918546,0.673277661795407,0.6159999950627201,45,1
53,wipe,3,transport,3,0.8493725802514742,0.9038299322128296,0.8299027486567973,0.41613268186171504,0.6795963418479976,0.6717557203073831,49,1
