,Wu-Palmer Similarity rho,Wu-Palmer Similarity p,Cosine Similarity GloVe rho,Cosine Similarity GloVe p,Sensorimotor Distance rho,Sensorimotor Distance p,Same Author rho,Same Author p
chrF,0.06667407641309886,0.42073652712324405,-0.14450675964175755,0.07972152373383563,0.2248089084437614,0.006014632478335251,0.1951679559756637,0.0174496002626349
CodeBERTScore,0.24359498215689773,0.002850572468874395,-0.3276394465885085,4.805518104133758e-05,0.36686281594327663,4.514372320236461e-06,0.3309198608377685,3.9904810082771604e-05
CodeBLEU,-0.012569223896809457,0.8794861313035702,-0.08746774257911426,0.29046771091515017,0.12516967565805875,0.1295670481931603,0.2549774908714316,0.0017630299200741537
CrystalBLEU,0.22020562264383783,0.007160285200530231,-0.226155936170893,0.005711840368942547,0.34178509313348265,2.123512646167429e-05,0.23884465580086264,0.0034615684609575485
Edit Distance,0.01061983156043245,0.8980666777655629,-0.12066923281780459,0.14404253832378736,0.3078813244488472,0.00014084982855880438,0.2419940943957379,0.003044630252829135
ROUGE-L,0.19702336422953265,0.01638859706170162,-0.22632214580658047,0.005675437961948403,0.21474423675877624,0.008767839483697108,0.3155780837988203,9.34734026839556e-05
LoC,-0.7033872052414406,2.1116222423139716e-23,0.5323490663167061,3.3196848940825872e-12,-0.3537353530332063,1.0320949423336542e-05,0.024607161785281377,0.7665690027964254
Compilation Success,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Run Success,0.061099923054878685,0.5672697273163887,0.03614720195339099,0.7351827054043287,-0.08133120439512972,0.44602789029197,0.03904344047215151,0.7148424290999853
Simulation,-0.0453908117790313,0.8117459819222761,-0.08011063939941528,0.6738887783677099,-0.08146081871513575,0.6686999934267143,-0.15069723515982464,0.42668032845466497
